node: tikgpu04.ee.ethz.ch | gpu: NVIDIA TITAN RTX
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
  N_J=2 n= 1 p=10        | BER 0.1316 cnn 0.447 en 0.031 suite 0.475 JSR -7.4 dB
  N_J=2 n= 2 p=10        | BER 0.1458 cnn 0.596 en 0.031 suite 0.615 JSR -4.3 dB
  N_J=2 n= 4 p=10        | BER 0.1661 cnn 0.803 en 0.074 suite 0.820 JSR -0.7 dB
  N_J=2 n= 8 p=10        | BER 0.1949 cnn 0.920 en 0.303 suite 0.938 JSR +1.9 dB
  N_J=2 n=16 p=10        | BER 0.2456 cnn 0.992 en 0.783 suite 1.000 JSR +4.6 dB
  N_J=2 n=32 p=10        | BER 0.3364 cnn 1.000 en 0.980 suite 1.000 JSR +7.9 dB
  N_J=2 n=52 p=10        | BER 0.3906 cnn 1.000 en 0.998 suite 1.000 JSR +9.9 dB
  [checkpoint] N_J=2 done, 182 rows (89s)
  N_J=4 n= 1 p=0.01      | BER 0.1287 cnn 0.266 en 0.014 suite 0.279 JSR -37.4 dB
  N_J=4 n= 2 p=0.01      | BER 0.1284 cnn 0.234 en 0.010 suite 0.244 JSR -34.3 dB
  N_J=4 n= 4 p=0.01      | BER 0.1305 cnn 0.299 en 0.018 suite 0.314 JSR -31.0 dB
  N_J=4 n= 8 p=0.01      | BER 0.1309 cnn 0.258 en 0.014 suite 0.270 JSR -28.1 dB
  N_J=4 n=16 p=0.01      | BER 0.1292 cnn 0.262 en 0.008 suite 0.270 JSR -25.2 dB
  N_J=4 n=32 p=0.01      | BER 0.1328 cnn 0.279 en 0.010 suite 0.289 JSR -22.0 dB
  N_J=4 n=52 p=0.01      | BER 0.1267 cnn 0.256 en 0.014 suite 0.270 JSR -20.1 dB
  N_J=4 n= 1 p=0.017783  | BER 0.1293 cnn 0.260 en 0.014 suite 0.273 JSR -34.7 dB
  N_J=4 n= 2 p=0.017783  | BER 0.1244 cnn 0.229 en 0.020 suite 0.248 JSR -31.8 dB
  N_J=4 n= 4 p=0.017783  | BER 0.1258 cnn 0.283 en 0.018 suite 0.301 JSR -28.8 dB
  N_J=4 n= 8 p=0.017783  | BER 0.1333 cnn 0.309 en 0.012 suite 0.320 JSR -25.6 dB
  N_J=4 n=16 p=0.017783  | BER 0.1307 cnn 0.275 en 0.020 suite 0.295 JSR -22.6 dB
  N_J=4 n=32 p=0.017783  | BER 0.1333 cnn 0.256 en 0.020 suite 0.275 JSR -19.5 dB
  N_J=4 n=52 p=0.017783  | BER 0.1330 cnn 0.260 en 0.020 suite 0.275 JSR -17.6 dB
